variant,top1,top5,macro_f1,weighted_f1,params,flops_b,size_mb,gpu_ms_bs1,cpu_ms_bs1,onnx_delta,train_time_min,stopped_epoch,recall_Bacterial Spot,recall_White Spot,recall_Cercospora Leaf Spot,recall_Nutrition Deficiency
yolo26n-cls,0.6210191082802548,0.8885350318471338,0.6174279180692369,0.6218166265955071,1536272,,3.204482,3.6574840545654297,11.297745704650879,0.3742038178595768,0.5373352686564128,99,1.0,0.0,0.9615384615384616,0.9953703703703703
yolo26s-cls,0.6226114649681529,0.7898089171974523,0.6198788984613938,0.6226284162795336,5444376,,11.043074,3.881559371948242,23.457918167114258,0.3742037992568532,10.488848416010539,51,1.0,0.0,1.0,0.9953703703703703
yolo26m-cls,0.6194267515923567,0.7468152866242038,0.6068540852459081,0.619413844156555,10351880,,20.896854,4.814047813415527,51.414971351623535,0.37420383646230027,13.852129856745401,64,0.9047619047619048,0.0,0.9615384615384616,1.0
yolo26x-cls,0.6226114649681529,0.8359872611464968,0.618426093735875,0.6226184197393382,28342664,,57.0238,7.691822052001953,124.16544437408447,0.3742037992568532,19.57358419497808,58,1.0,0.0,0.9615384615384616,0.9953703703703703
