epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,1108.43,0.08628,0.92759,0.99625,0.26772,4.76796e-05,4.76796e-05,4.76796e-05
72,1124.84,0.09637,0.92135,0.99625,0.27291,4.05953e-05,4.05953e-05,4.05953e-05
73,1140.74,0.09034,0.92135,0.99625,0.29115,3.4227e-05,3.4227e-05,3.4227e-05
74,1156.64,0.08961,0.92135,0.9975,0.26833,2.85847e-05,2.85847e-05,2.85847e-05
75,1172.38,0.09732,0.9201,0.9975,0.26614,2.36769e-05,2.36769e-05,2.36769e-05
76,1188.68,0.09401,0.91511,0.9975,0.27178,1.95113e-05,1.95113e-05,1.95113e-05
77,1204.9,0.09653,0.92135,0.9975,0.28895,1.60943e-05,1.60943e-05,1.60943e-05
78,1221,0.08855,0.91885,0.9975,0.28712,1.34311e-05,1.34311e-05,1.34311e-05
79,1237.51,0.08418,0.9201,0.9975,0.26855,1.15259e-05,1.15259e-05,1.15259e-05
80,1253.43,0.09013,0.9226,0.9975,0.27127,1.03816e-05,1.03816e-05,1.03816e-05
