epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1710.53,0.04134,0.95122,1,0.17126,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1745.63,0.03545,0.95415,1,0.19253,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1780.79,0.03635,0.9561,1,0.20284,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1815.86,0.03792,0.95122,1,0.18028,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1852.45,0.03532,0.95707,1,0.1704,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1887.42,0.03441,0.95707,1,0.15328,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1922.91,0.03025,0.95415,1,0.15251,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1958.32,0.03093,0.94927,1,0.18679,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1992.52,0.02709,0.96195,1,0.13881,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2027.07,0.02903,0.96195,1,0.15403,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2061.47,0.02385,0.96098,1,0.19428,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
